author,label,party,state,PEC135,ideology_2021,mean_page_followers,louvain_community,degree,strength,total_posts,total_image_posts,total_video_posts,total_text_posts,total_engagement,mean_engagement,Q1,Q2,Q3,is_wolf
rosemodestoms,Rose Modesto,REPUBLICANOS,MS,1,0.55,60074.6026387272,2,148,32.099517638118684,2577,2026,547,4,1778162,690.0124175397749,5,1,0,0
drluizovando,Dr. Luiz Ovando,PP,MS,1,0.51,22581.84512285927,2,148,32.029357979432604,2691,1868,814,9,852661,316.85655890003716,36,30,0,1
eduardobraide,Eduardo Braide,PSD,MA,0,0.296,71869.77659574468,2,157,31.900326560301412,2068,1108,954,6,1440938,696.7785299806576,2,0,0,0
pinheirinhomg,Pinheirinho Deputado Federal,PP,MG,0,0.51,21735.753753753754,2,138,31.71851134699171,666,515,147,4,225157,338.0735735735736,0,0,0,0
ottacinascimento,Ottaci,SOLIDARIEDADE,RR,1,0.19,5764.859570661896,2,147,30.887434978122187,1153,797,346,10,289741,251.29314830875975,4,2,0,0
viniciuscarvalhooficial,Vinicius Carvalho,REPUBLICANOS,SP,0,0.55,147431.64873127485,2,129,30.513017612972565,3271,2389,877,5,545059,166.63375114643839,6,2,0,0
deputadoviniciusgurgel,Vinícius Gurgel,PL,AP,0,0.493,21292.761760242793,2,137,30.229236707951912,659,588,70,1,76735,116.44157814871016,4,0,0,0
baleia.rossi,Baleia Rossi,MDB,SP,0,0.137,159373.83945841392,2,154,29.85493269033985,2586,1972,596,18,881524,340.88321732405257,6,1,0,0
DelegadoAntonioFurtado,Delegado Antonio Furtado,PSL,RJ,1,0.803,67891.08443485298,2,122,29.639272225689623,3708,2198,1455,55,1386512,373.9244875943905,14,9,0,0
MarxBeltrao,Marx Beltrão,PP,AL,1,0.51,174819.60659898477,2,141,29.52900287694749,1970,201,1769,0,413029,209.65939086294415,2,2,0,0
celsosabinooficial,Celso Sabino,PSL,PA,0,0.803,67692.39934667211,2,135,28.927061345904807,2449,2092,351,6,277676,113.3834218048183,5,1,0,0
LucasRedecker,Lucas Redecker,PSDB,RS,1,0.157,56125.20541494997,2,146,28.74376154222254,1702,1240,395,67,1000421,587.7914218566392,4,1,0,0
celio.studart,Célio Studart,PSD,CE,0,0.296,666106.1496657948,2,125,28.105839730790567,3441,2490,940,11,9485907,2756.7297297297296,2,0,0,0
depaguinaldoribeiro,Aguinaldo Ribeiro,PP,PB,0,0.51,10820.147991543341,2,125,27.232080197632985,946,677,267,2,58553,61.895348837209305,2,0,0,0
AdrianoDoBaldyOficial,Dep. Adriano do Baldy,PP,GO,0,0.51,19512.018989034503,2,123,27.145785249578037,3740,3302,433,5,155071,41.46283422459893,4,0,0,0
altineucortesrj,Altineu Côrtes,PL,RJ,0,0.493,53065.27113702624,2,127,26.706683990644237,1029,783,224,22,314330,305.4713313896987,5,1,0,0
fabioabreu.oficial,Fábio Abreu,PSD,PI,0,0.296,39149.67832538421,2,133,26.55655008743424,1887,1475,412,0,273094,144.7239003709592,1,0,0,0
rio.pedropaulo,Pedro Paulo,PSD,RJ,0,0.296,92343.750740584,2,133,26.270989360768784,2363,1608,741,14,419207,177.40457046127804,11,6,0,0
depjefferson,Dep Pr Jefferson Campos,PL,SP,1,0.493,307856.56742179074,2,133,26.084101147120272,1855,1385,468,2,433497,233.6911051212938,7,1,0,0
farah.vinicius,Vinicius Farah,MDB,RJ,0,0.137,55082.28641801548,2,131,25.77330252836776,1421,1044,369,8,305675,215.11259676284305,3,0,0,0
profmarcivania,Professora Marcivânia,PCDOB,AP,0,-0.822,15704.038222222222,2,114,25.691594919467665,1125,689,412,24,314330,279.40444444444444,1,1,1,0
oficialraimundocosta,Raimundo Costa,PODEMOS,BA,0,NA,4645.918561607615,2,117,25.473238626898727,1914,1501,412,1,120642,63.03134796238245,0,0,0,0
emanuelpinheiromt,Emanuel Pinheiro,MDB,MT,1,0.137,59716.6200265252,2,134,25.199776700515677,1508,749,744,15,935764,620.5331564986737,1,0,0,0
MosesRodriguesOficial,Moses Rodrigues,MDB,CE,1,0.137,36336.108263933376,2,115,24.971646673720496,1561,1328,220,13,287295,184.04548366431774,5,3,0,0
CelinaLeaoDf,Celina Leão,PP,DF,1,0.51,136102.9572387344,2,122,24.92428706858143,5255,3422,1625,208,5240662,997.271550903901,4,0,0,0
DepGonzagaPatriota,Gonzaga Patriota,PSB,PE,0,-0.427,26477.71842843779,2,113,24.61017752002778,1069,594,474,1,138878,129.9139382600561,3,1,0,0
