community_number,n_members,n_wolves,Q1_posts,Q2_posts,Q3_posts,top_domains,n_domains,top_hashtags,n_hashtags,top_terms,n_posts,total_engagement,mean_engagement
35,1,0,2,1,0,franciscojr; psdcamara; jornalopcao; google; camara.leg.br; emaisgoias; psd; opopular; extranewsgo; veja; diariodegoias; youtube; sagresonline; rccbrasil; radiobandeirantesgoiania,0.9999999999999999,atuacao; frenteparlamentarcatolica; cidadesinteligentes; rcc; cedes; senadorcanedo; cancaonova; devocao; vamosjuntos; renovacao; belavistadegoias; prefeituradegoiania; vidasim; catolicos; bancadagoiana,0.9999999999999998,cede; vanderlan; padre; catolico; eleno; beato; anapoli; psdgo; carismatica; inteligente; chis; oracao; canedo; paroquia; goianiense; missa; ecmo; vilmar; renovacao; brazil,2044,176861,86.52690802348337
36,1,0,1,0,0,francocartafina; jmonline; veja; g1.globo; em; valorinveste.globo; jornaldeuberaba; jornalinforondonia; onortao; portalsolar; topuai; camara.leg.br; otempo; exame; glo.bo,0.9999999999999999,semanadoconsumidor; superendividamento; coronavirus; br262; recursosfederais; mandatoderesultado; relatoria; educacao; defesadoconsumidor; minfra; rodoviasfederais; br364; plenario; mandatoparticipativo; sus,0.9999999999999999,cartafinar; superendividamento; rochelle; cemel; triangulo; girassois; uberabense; deliberativo; cemei; palmerio; miltoncampos; uftm; deliberativa; marceloaro; extraordinario; zema; cemig; pecuaria; concebra; francocartafino,1118,196821,176.0474060822898
37,1,0,2,1,0,gelsonazevedo; veja; exame; meriti.rj.gov.br; glo.bo; g1.globo; folha; extra.globo; r7; cnn; cnnbrasil; band; youtube; 019agora; 15binao,1,saojoaodemeriti; deputadoestadual; baixadafluminense; luto; camarafederal; emancipacao; segurancapresente; aniversario; coronavirus; covid19; emancipacaopolitica; presidente; mesdasmulheres; 6dejaneiro; diadaoracao,1.0000000000000004,deusestanocontrole; meriti; orar; mattos; saojoaodemeriti; deputadoestadual; romario; abencoe; juninho; baixadafluminense; pneu; messia; castramovel; deputadoa; altineu; liberal; deputadofederalrj; baixada; nilopoli; emancipacao,2821,957938,339.57390996100673
38,1,0,5,0,0,geninhozuliani; youtu.be; youtube; diariodaregiao; google; jovempan; folha; estadao; vacinaja.sp.gov.br; extra.globo; clp; camara.leg.br; sbt; poder360; veja,1,rodrigogarcia; rodrigo45; trabalhoserio; riopreto; saneamentoebasico; governodesp; ribeiraopreto; eleicoes2020; eleicoesmunicipais; governodesaopaulo; montealto; fiquememcasa; josebonifacio; 9dejulho; paulistaraiz,1,zulianir; saneamento; garcia; preto; governadorraiz; pignatari; rodrigo45; rodrigogarcia; bolcone; cdhu; carlao; barreto; trabalhoserio; vicegovernador; governadorindependente; minuto; riopreto; consorcio; residuo; hercolin,3222,206881,64.2088764742396
39,1,0,0,0,0,NA,0,espiritualidade; relacionamento; marketing; terapia; frases; metas; resiliencia; positividade; atitude; sonhos; sabedoria; negocios; empreendedor; conhecimento; crescimento,1.0000000000000002,orator; oratoria; sicomercio; inspiro; metamorfose; adepta; timidez; eloquente; tecnica; compacto; timer; convencimento; qualidadedevida; apresentarer; treinamento; positividade; espiritualidade; mergulho; expressar; mentalidade,8,78,9.75
40,1,0,0,0,0,hugomotta; cnn; patosonline; pombal.pb.gov.br; maispb; prb10; jota.info; saude.gov.br; youtube; spotify; uol; g1.globo; r7; jovempan; cnnbrasil,1.0000000000000002,aniversariodacidade; pecdosprecatorios; educacaonafrente; lideranca; princesaisabel; auxiliobrasil; santaluzia; eleicoes2020; joaopessoa; saobento; dialogando; coronavirus; covid19; olympics; bpc,1,pato; aniversariodacidade; naborwanderley; republicanos10pb; nabor; emancipacao; olivedo; cacimba; joaoazevedolim; corema; patoense; isabel; garrote; aniversariante; verissinho; pecdosprecatorios; precatorio; luzia; pavimentacao; paola,1479,182282,123.24678837052062
41,1,0,0,0,0,professorluizflaviogomes; estadao; oantagonista; veja; exame; intercept; istoe; oglobo.globo; folha; theintercept; institutoluizflaviogomes; jcnet; extra.globo; oeco; br18,1,seminario; homenagem; direito; justica; ccj; transformacaosocial; penal; novaprevidencia; responsabilidadesocial; etica; educacao; lavajato; reformasim; gilmarmendes; previdencia,0.9999999999999996,professorlfg; corrupcao; penal; livro; amazonbrasil; foro; jurista; plea; prevenda; privilegiar; bianchini; etico; elite; edital; palestrante; etica; criminal; juiz; jato; erga,729,966936,1326.3868312757202
42,1,0,0,0,0,joaoroma; youtube; jrn.news; veja; google; camara.leg.br; atarde; g1.globo; bahianoticias; infomoney; band; folha; crazymania; jovempan; classepolitica,0.9999999999999997,issoecidadania; auxiliobrasil; ccj; bolsonaro; reformatributaria; juntospelabahia; bolsonaro22; lavagemdobonfim; razoesparaacreditar; colinasagrada; marcolegaldasstartups; auxilioemergencial2021; novareforma; startups; mildiasdegoverno,0.9999999999999999,jairmessiasbolsonaro; mincidadania; governodobrasil; auxiliobrasil; haack; issoecidadania; startup; issoecidadanio; transformacao; atleta; dulce; vulnerabilidade; juracy; messia; rogeriosmarinho; acmnetooficial; olimpico; reformatributaria; inovacao; amparar,2158,1136551,526.6686746987951
43,1,0,0,0,0,NA,0,mirandadonorte; 01demaio; 02dejulho; 02deoutubro; 02outforabolsonaro; 05dejunho; 07desetembro; 08demarco; 1000dias; 1000diasdemandato; 1000diassemjustica; 1000diassemmarielle; 1000diassemrespostas; 100anos; 100anospaulofreire,1,federaljunior; angelico; pesare; ifma; falecimento; comando; negao; extase; dordeputar; mirandense; conal; sofrencia; amigosdeputar; deculturar; esticar; mariquinha; joacy; trilha; guabiraba; confortar,61,3259,53.42622950819672
44,1,0,1,0,0,leandre; veja; youtube; camara.leg.br; leandre5500; google; pv; diariodosudoeste; flickr; psd; cbncuritiba; instagram; aeronautas; centralsulnews; chopinzinho.pr.gov.br,0.9999999999999999,gabineteitinerante; primeirainfancia; protagonismofeminino; partidoverde; fazeradiferenca; procuradoriadamulher; combateaofeminicidio; novocoronavirus; ocepar; patobranco; samu192; psdmulher; maiolaranja; defesadamulher; 56legislatura,1.0000000000000004,infancia; fazadiferenca; itinerante; gabineteitinerante; pato; sudoeste; procuradoria; beltrao; dependedeno; envelhecimento; ratinho; iguacu; primeirainfancia; seminario; gaertner; procuradora; reportagem; erasto; ilpis; alep,1603,148717,92.77417342482845
