source,target,similarity_total,similarity_text,similarity_hashtag,similarity_url,similarity_domain,text_share,hashtag_share,url_share,domain_share,max_share,n_active_modalities,non_domain_similarity
deputadorogeriocorreia,joicehasselmann,0.35966006626834474,0.4726182587935587,0.04737819334580403,0,0.5739620193979763,0.8760462134837717,0.017564064066523246,0,0.10638972244970514,0.8760462134837717,3,0.3443527839019425
guimaraes13pt,IvanValentePSOL,0.3594925369759409,0.3495852976063237,0.6447834573989889,0.035300225480910295,0.5363677128160793,0.6482940286642996,0.23914579250069978,0.013092613188526458,0.09946756564647419,0.6482940286642996,4,0.34685859584450246
depjefferson,PastorStefanoAguiar,0.3594752015034,0.481583647883371,0.28814577185864504,0,0,0.8931235420770577,0.10687645792294231,0,0,0.8931235420770577,2,0.3851520016107857
deputadofederalzecadirceu,rubensotoni,0.3589437111864184,0.3854472459521619,0.6733619317500028,0.05907317606885137,0.06481299263694837,0.715891719583072,0.2501272152205839,0.02194333883107429,0.012037726365269858,0.715891719583072,4,0.3799530482256662
nataliabonavides,rubensotoni,0.3588570838839986,0.403260387979232,0.5540601373247738,0,0.24213210381811084,0.7491568948370673,0.20586101903596996,0,0.04498208612696276,0.7491568948370673,3,0.3671945824601334
drasorayamanato,filipebarrosoficial,0.3585865566550009,0.46035205976955457,0.029601982501419214,0,0.7160737871266284,0.8558641351270049,0.011006912911089982,0,0.13312895196190505,0.8558641351270049,3,0.33305175447845603
helder.salomao.1350,paulaodopt,0.35851541498953343,0.47457655270224763,0.2561750382234411,0.018427115179918678,0.082761391013807,0.8824847000718271,0.09527253316045743,0.006853118688711202,0.015389648079004385,0.8824847000718271,3,0.37821213098779966
depchinaglia,wolneyqueirozpe,0.35835303163606436,0.39104412784244025,0.48591027888669924,0.03185456550449979,0.42932450733416555,0.7274839675224258,0.18079388609914307,0.011852210043288859,0.07986993633514233,0.7274839675224258,4,0.3532836405147714
depchinaglia,deputadohenriquefontana,0.35789042319792125,0.40437329918056175,0.14648898208814354,0.11012109782798328,0.8114031963309472,0.7532534596619339,0.05457498444326237,0.0410260015133492,0.15114555438145444,0.7532534596619339,4,0.32549665368841935
DeputadaMariaDoRosario,patrusananias13,0.3576749287609417,0.446743593316771,0.13032844209046313,0.07912799008787952,0.47877513388973003,0.8326808458253442,0.04858357188260197,0.02949717139787418,0.0892384108941796,0.8326808458253442,4,0.3490249141088854
JandiraFeghaliOficial,Joseairtoncirilo,0.35671905689808375,0.46302557846822984,0.25110505796953897,0,0.21831995284987984,0.8653412622892537,0.0938572631557055,0,0.040801474555040816,0.8653412622892537,3,0.3666047071872412
padilhando,rubensotoni,0.35633893426408136,0.46776486841911014,0.1069443998712394,0.05548709520230925,0.34257233962302075,0.8751309936332534,0.040015984628830305,0.020761916952990223,0.06409110478492587,0.8751309936332534,4,0.3573222624527285
IvanValentePSOL,padilhando,0.3562215788839228,0.46564517440010084,0.11611832107577348,0.040308457255101876,0.37401838259608317,0.8714523057231455,0.0434629560023038,0.015087409876138417,0.0699973283984123,0.8714523057231455,4,0.3549503786187685
DeputadoBetoFaro,deputadofederalzecadirceu,0.3559001804547177,0.40372860776778097,0.5226243238894073,0.07847140125070656,0.09902517886272826,0.7562581306776431,0.19579434631424786,0.029398280963854218,0.018549242044254885,0.7562581306776431,4,0.3742483948541455
depleomonteiro,padilhando,0.35585628307500305,0.476159318195359,0.05121139205781668,0.039590379123244694,0.3946475218093328,0.8920442340389045,0.0191880428489434,0.014833845761604951,0.07393387735054713,0.8920442340389045,4,0.35308548030826525
afonsoflorence13,blogdabenedita,0.35573707813804345,0.4230061246964658,0.22119834551222078,0.0600480576769077,0.5435021187277367,0.7927317686618703,0.08290705284175633,0.022506531318468522,0.10185464717790464,0.7927317686618703,4,0.3423252895244939
deputadohenriquefontana,nelsonpelegrino,0.35534543125037926,0.4682299635379601,0.1336909312607845,0.03421929554145766,0.3120613797716038,0.8784503234695059,0.05016374472218266,0.01283982383790998,0.058546107970401495,0.8784503234695059,4,0.35843714921314895
depchinaglia,deputadorogeriocorreia,0.3548446310657647,0.390683816328138,0.42172158702531226,0.06101450625493457,0.45035911614459695,0.7339997698987891,0.15846243683559375,0.02292628037297316,0.08461151289264403,0.7339997698987891,4,0.3480221678458481
airtonfaleiropt,patrusananias13,0.3543870112162274,0.41144022183639517,0.129260401965079,0.048304982751723874,0.8462721804458534,0.7739941717471827,0.04863248289733412,0.018174098268423214,0.15919924708706001,0.7739941717471827,4,0.3192523562712541
deputadowaldenorpereira,jfmargarida,0.35433120486659153,0.39217240158701244,0.3874078767266568,0.054232614454664395,0.5099630747661061,0.7378640778282914,0.145779945017833,0.020407503379061557,0.09594847377481401,0.7378640778282914,4,0.3432146427309119
patrusananias13,pauloguedesmg,0.3542698994916082,0.41549534645413566,0.28439386662450195,0.07501172149729719,0.4402838515891679,0.7818809840564843,0.10703472767801,0.028231477979526184,0.08285281028597936,0.7818809840564843,4,0.34812604577035394
odaircunhamg,PedroUczai,0.35403318277245815,0.4247579464934945,0.29410626135097173,0.02537650164439462,0.42395275066119475,0.7998458283245014,0.1107641037290367,0.009557108534542625,0.07983295941191947,0.7998458283245014,3,0.34903892792326274
nataliabonavides,pauloguedesmg,0.35392561484850976,0.418144309035473,0.45877526202755664,0,0.2098906083178029,0.787631245084179,0.17283302584129173,0,0.03953572907452923,0.787631245084179,3,0.3642138296007031
deputadofederalzecadirceu,deputadomarcon,0.3534126717935055,0.3709184365680869,0.6922861046085408,0.06018481738508553,0.08706386723446041,0.6996889965975522,0.26118139307052907,0.022706153339912216,0.016423456992006355,0.6996889965975522,4,0.3724375864048658
depjorgesolla,wolneyqueirozpe,0.3533306324210166,0.4193195113623257,0.23850211059308504,0,0.6297601515058218,0.7911749371764613,0.09000148442979951,0,0.11882357839373921,0.7911749371764613,3,0.3335856667721019
biakicisoficial,PauloEduardoOficial,0.3533099611717561,0.4627496134359347,0.04004703773161524,0,0.5920592077537647,0.8731702363202003,0.015113089405045861,0,0.11171667427475378,0.8731702363202003,3,0.3362564435587555
deputadomarcon,IvanValentePSOL,0.3524969346317907,0.3425569414512853,0.7283713397418696,0.03145718837380131,0.342227548732665,0.6478674617111427,0.2755092855876729,0.01189880356705728,0.06472444913412692,0.6478674617111427,4,0.35323046219601395
deputadowaldenorpereira,niltotattosp,0.3524684175943413,0.4255865426830773,0.2709778932887683,0.009498428140203423,0.47020819422640336,0.8049639276199174,0.10250673242848818,0.003593107983984063,0.08893623196761036,0.8049639276199174,3,0.34405843354919396
freixo.marcelo,PauloTeixeira13,0.352431815534237,0.4302908857128435,0.11680312094143457,0.05061578355319174,0.6487305668958674,0.8139463516946923,0.04418939713274844,0.019149154085863044,0.12271509708669616,0.8139463516946923,4,0.3312676190084063
DeputadoAndreFigueiredo,wolneyqueirozpe,0.3510608642853813,0.3983488738172379,0.2113254527614104,0.13900960937138318,0.5817541018427529,0.756466877670184,0.08026165802391902,0.052796014789572486,0.11047544951632442,0.756466877670184,4,0.33458277588842616
MolonRJ,PauloTeixeira13,0.3504349971505347,0.41898103295031663,0.28940539584463354,0.023585791246216518,0.440732253573154,0.7970684746237201,0.11011282099784686,0.008973910116663712,0.08384479426176922,0.7970684746237201,3,0.34398519312034764
helder.salomao.1350,niltotattosp,0.3501932020426552,0.454344231081177,0.2511585876131045,0.008036082657321194,0.19106637928720657,0.8649401310115203,0.09562667546490035,0.003059675862903572,0.03637351766067574,0.8649401310115203,3,0.3615594036680444
carlosjordyoficial,drasorayamanato,0.35017289654155104,0.4363216238241813,0.0029707449551498975,0,0.8834357199711521,0.8306784603329191,0.0011311535851728006,0,0.16819038608190792,0.8306784603329191,2,0.3120826948680081
assiscarvalho.pt,bohngass13,0.3501384495019416,0.44941516586410346,0.07805850405042644,0.055236387739520054,0.49133530030819744,0.8556904019031694,0.02972481472646478,0.021034112960398636,0.09355067040996742,0.8556904019031694,4,0.3400529601586376
DeputadaMariaDoRosario,orlandosilvasp,0.3498434022365717,0.35476772956803326,0.5109528157179813,0.05075300328878917,0.5765620998547019,0.6760505363256437,0.19473582082780533,0.019343131989654767,0.10987051085689631,0.6760505363256437,4,0.3336492095495624
