Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
deputadorogeriocorreia	Rogério Correia	deputadorogeriocorreia	PT	MG	0	-0.691	3	178	178	509	1413043	2776.115913555992	57	47	0
deputadovander	Vander Loubet	deputadovander	PT	MS	0	-0.691	3	178	178	67	5541	82.70149253731343	11	1	0
depleomonteiro	Leonardo Monteiro	depleomonteiro	PT	MG	0	-0.691	3	175	175	128	33776	263.875	14	3	0
deputadofederalzecadirceu	Zeca Dirceu	deputadofederalzecadirceu	PT	PR	0	-0.691	3	174	174	270	320432	1186.7851851851851	33	10	0
orlandosilvasp	Orlando Silva	orlandosilvasp	PCDOB	SP	0	-0.822	3	173	173	247	65553	265.39676113360326	46	30	0
reginaldolopesmg	Reginaldo Lopes	reginaldolopesmg	PT	MG	0	-0.691	3	173	173	183	83560	456.6120218579235	22	12	0
idilvanoficial	Idilvan	idilvanoficial	PDT	CE	0	-0.356	3	169	169	33	23027	697.7878787878788	0	0	0
fernandapsol	Fernanda Melchionna	fernandapsol	PSOL	RS	0	-0.874	3	168	168	848	1116268	1316.3537735849056	85	65	0
fabiogov55	Fábio Mitidieri	fabiogov55	PSD	SE	0	0.296	3	167	167	42	3449	82.11904761904762	1	0	0
MolonRJ	Alessandro Molon	MolonRJ	PSB	RJ	0	-0.427	3	167	167	212	651580	3073.490566037736	41	30	0
chicodangelo	Chico D'Angelo	chicodangelo	PDT	RJ	0	-0.356	3	166	166	98	26588	271.3061224489796	12	6	0
AlencarBraga13	Alencar Santana	AlencarBraga13	PT	SP	0	-0.691	3	162	162	337	232681	690.4480712166172	46	26	0
DeputadoCarlosSampaio	Carlos Sampaio	DeputadoCarlosSampaio	PSDB	SP	0	0.157	3	162	162	35	114796	3279.885714285714	4	1	0
carlosveraspt	Carlos Veras	carlosveraspt	PT	PE	0	-0.691	3	161	161	255	31401	123.14117647058823	32	19	0
pauloguedesmg	Deputado Paulo Guedes	pauloguedesmg	PT	MG	0	-0.691	3	161	161	55	39787	723.4	9	2	0
danilocabralpe	Danilo Cabral	danilocabralpe	PSB	PE	0	-0.427	3	160	160	61	14664	240.39344262295083	8	4	0
ErikaKokay	Erika Kokay	ErikaKokay	PT	DF	0	-0.691	3	159	159	236	459869	1948.5974576271187	45	29	0
deputadowaldenorpereira	Waldenor Pereira	deputadowaldenorpereira	PT	BA	0	-0.691	3	158	158	140	16836	120.25714285714285	11	7	0
deputadohenriquefontana	Henrique Fontana	deputadohenriquefontana	PT	RS	0	-0.691	3	155	155	483	1204857	2494.527950310559	74	50	0
padrejoao	Padre João	padrejoao	PT	SP	0	-0.691	3	155	155	219	130447	595.648401826484	35	17	0
pauloramosrio	Deputado Paulo Ramos	pauloramosrio	PDT	RJ	0	-0.356	3	155	155	86	6213	72.24418604651163	14	8	0
DeputadaMariaDoRosario	Maria do Rosário	DeputadaMariaDoRosario	PT	SP	0	-0.691	3	154	154	457	795857	1741.4814004376367	32	15	0
guimaraes13pt	José Guimarães	guimaraes13pt	PT	CE	0	-0.691	3	154	154	402	852986	2121.855721393035	51	25	0
LidicedaMata	Lídice da Mata	LidicedaMata	PSB	BA	0	-0.427	3	152	152	120	12269	102.24166666666666	28	9	0
blogdabenedita	Benedita da Silva	blogdabenedita	PT	RJ	0	-0.691	3	148	148	266	210863	792.718045112782	34	15	0
camilocapiberibe	Camilo Capiberibe	camilocapiberibe	PSB	AM	0	-0.427	3	148	148	292	35489	121.53767123287672	41	21	0
gleisi.hoffmann	Gleisi Hoffmann	gleisi.hoffmann	PT	PR	0	-0.691	3	148	148	727	4591675	6315.921595598349	87	58	0
perpetuaalmeida.acre	Perpétua Almeida	perpetuaalmeida.acre	PCDOB	AC	0	-0.822	3	148	148	56	10092	180.21428571428572	18	7	0
calero.rio	Marcelo Calero	calero.rio	PSD	RJ	0	0.296	3	145	145	48	21745	453.0208333333333	8	4	0
dep.zarattini	Carlos Zarattini	dep.zarattini	PT	SP	0	-0.691	3	145	145	213	304521	1429.6760563380283	39	31	0
carlosjordyoficial	Carlos Jordy	carlosjordyoficial	PL	RJ	1	0.493	3	137	137	619	7379201	11921.1647819063	198	142	1
padilhando	Alexandre Padilha	padilhando	PT	SP	0	-0.691	3	136	136	252	170826	677.8809523809524	11	7	0
DeputadoTadeuAlencar	Tadeu Alencar	DeputadoTadeuAlencar	PSB	PE	0	-0.427	3	133	133	68	10666	156.85294117647058	7	5	0
samia.bomfim.psol	Sâmia Bomfim	samia.bomfim.psol	PSOL	SP	0	-0.874	3	131	131	456	1341353	2941.563596491228	28	20	0
renataabreu1919	Renata Abreu	renataabreu1919	PODEMOS	SP	1		3	129	129	144	47405	329.2013888888889	29	5	0
deputadojoaodaniel	Deputado João Daniel	deputadojoaodaniel	PT	SE	0	-0.691	3	128	128	720	25836	35.88333333333333	14	8	0
DepZeCarlosPT	Deputado Zé Carlos	DepZeCarlosPT	PT	MA	0	-0.691	3	127	127	37	1460	39.45945945945946	2	1	0
glauber.braga1	Glauber Braga	glauber.braga1	PSOL	RJ	0	-0.874	3	126	126	266	777170	2921.691729323308	8	5	0
bohngass13	Elvino Bohn Gass	bohngass13	PT	RS	0	-0.691	3	124	124	212	300966	1419.6509433962265	41	23	0
silvio.costafilhoi	Silvio Costa Filho	silvio.costafilhoi	REPUBLICANOS	PE	0	0.55	3	124	124	12	2624	218.66666666666666	2	1	0
paulabelmonteoficial	Paula Belmonte	paulabelmonteoficial	CIDADANIA	DF	1	-0.014	3	121	121	54	137650	2549.074074074074	9	6	0
arraes	Marília Arraes	arraes	SOLIDARIEDADE	PE	0	0.19	3	118	118	127	150289	1183.3779527559054	13	7	0
assiscarvalho.pt	Assis Carvalho	assiscarvalho.pt	PT	PI	0	-0.691	3	117	117	42	10790	256.9047619047619	1	0	0
depchinaglia	Arlindo Chinaglia	depchinaglia	PT	SP	0	-0.691	3	117	117	281	66192	235.55871886120997	77	62	0
deputadomarcon	Deputado Marcon	deputadomarcon	PT	RS	0	-0.691	3	117	117	211	97549	462.3175355450237	22	10	0
enioverri	Enio Verri	enioverri	PT	PR	0	-0.691	3	116	116	50	42171	843.42	6	2	0
depdanielalmeida	Daniel Almeida	depdanielalmeida	PCDOB	BA	0	-0.822	3	115	115	115	11770	102.34782608695652	22	6	0
PedroUczai	Pedro Uczai	PedroUczai	PT	SC	0	-0.691	3	115	115	264	139596	528.7727272727273	31	19	0
paulaodopt	Paulão	paulaodopt	PT	AL	0	-0.691	3	114	114	102	6311	61.872549019607845	14	10	0
patrusananias13	Patrus Ananias	patrusananias13	PT	MG	0	-0.691	3	112	112	234	60844	260.017094017094	9	5	0
afonsoflorence13	Afonso Florence	afonsoflorence13	PT	BA	0	-0.691	3	110	110	102	11026	108.09803921568627	10	6	0
ProfessoraRosaNeide	Professora Rosa Neide	ProfessoraRosaNeide	PT	MT	0	-0.691	3	107	107	288	85879	298.19097222222223	31	16	0
airtonfaleiropt	Airton Faleiro	airtonfaleiropt	PT	PA	0	-0.691	3	105	105	221	17475	79.07239819004525	22	14	0
DeputadoBetoFaro	Beto Faro	DeputadoBetoFaro	PT	PA	0	-0.691	3	101	101	85	10756	126.54117647058824	8	1	0
