name,facebook_handle,twitter_handle,party,state
Fábio Abreu,fabioabreu.oficial,fabioabreuofc,PSD,PI
Fábio Faria,fabiofaria.br,,PSD,RN
Fábio Henrique,fabiohenriquese,fabiohenriquese,PDT,SE
Fábio Mitidieri,fabiogov55,FabioMitidieri_,PSD,SE
Fábio Ramalho,deputadofabioramalho4311,deputadofabiomg,MDB,MG
Fábio Reis,fabioreispsd,fabioreis_se,PSD,SE
Fabio Schiochet,fabioschiochetoficial,fabio_schiochet,PSL,SC
Fábio Trad,hydrorevivellc,f_trad,PSD,MS
Fausto Pinato,faustopinato,DepFaustoPinato,PP,SP
Felipe Carreras,FelipeCarrerasOficial,felipecarreras,PSB,PE
Felipe Francischini,depfelipefrancischini,FFrancischini_,PSL,PR
Felipe Rigoni,rigonifelipe,rigoni_felipe,PSL,ES
Félix Mendonça Júnior,felixjunior1234,FelixMendoncaJr,PDT,BA
Fernanda Melchionna,fernandapsol,fernandapsol,PSOL,RS
Fernando Filho,fernandofilhope,fernandofilhope,DEM,PE
Fernando Giacobo,fernandogiacobo,fernandogiacobo,PL,PR
Fernando Monteiro,fernandomonteirope,fmonteiroPE,PP,PE
Fernando Rodolfo,FernandoRodolfoTV,depfernandor,PL,PE
Filipe Barros,filipebarrosoficial,filipebarrost,PL,PR
Flávia Arruda,flaviaperes.df,FlaviaArrudaDF,PL,DF
Flávia Morais,flaviamorais1212,,PDT,GO
Flaviano Melo,flavianomelooficial,,MDB,AC
Flávio Nogueira,flavionogueirapi,flavionpi,PT,PI
Flordelis,flordelisCantora,depflordelis,PSD,RJ
Francisco Jr,franciscojrgo,franciscojr_go,PSD,GO
Franco Cartafina,francocartafina11,FrancoCartafina,PP,MG
Fred Costa,FredCostaDeputado,FredCostaDep,PATRIOTA,MG
Frei Anastacio Ribeiro,freianastaciopt,freianastaciopt,PT,PB
Gelson Azevedo,GelsonAzevedoRJ,,PL,RJ
General Girão Monteiro,generalgirao,GeneralGirao,PL,RN
General Peternelli,generalpeternelli,GenPeternelli,PSL,SP
Geninho Zuliani,geninhozuliani,geninhozuliani,DEM,SP
Geovania de Sá,geovaniadesaa,geovaniadesa,PSDB,SC
Gervásio Maia,gervasiomaiapb,gervasiomaia,PSB,PB
Gil Cutrim,depgilcutrim,gilcutrim,REPUBLICANOS,MA
Gilberto Abramo,gilbertoabramo,gilbertoabramo,REPUBLICANOS,MG
Gildemar Matos Coach,gildemarmatoscoach,,,
Gilson Marques,gilson.marques.novo,gilson__marques,NOVO,SC
Giovani Cherini,deputadogiovanicherini,giovanicherini,PL,RS
Giovani Feltes,GiovaniFeltes1,GiovaniFeltes,MDB,RS
Glauber Braga,glauber.braga1,Glauber_Braga,PSOL,RJ
Glaustin da Fokus,glaustindafokus,glaustindafokus,PSC,GO
Gleisi Hoffmann,gleisi.hoffmann,gleisi,PT,PR
Gonzaga Patriota,DepGonzagaPatriota,,PSB,PE
Greyce Elias,greyce.elias,greyceelias,AVANTE,MG
Guilherme Derrite,guilhermederrite,DerriteSP,PL,SP
Guilherme Mussi,deputadoguilhermemussi,GuilhermeMussi,PP,SP
Gustavo Fruet,gustavofruet,gustavofruet,PDT,PR
Gustinho Ribeiro,gustinhoribeiro,GustinhoRibeiro,REPUBLICANOS,SE
Gutemberg Reis,GutembergReisOficial,_GutembergReis,MDB,RS
Heitor Schuch,heitorschuchoficial,HeitorSchuch,PSB,RS
Helder Salomão,helder.salomao.1350,heldersalomao,PT,ES
Helio Leite,helioleitepa,,DEM,
Helio Lopes,depheliolopes,depheliolopes,PSL,RJ
Henrique Fontana,deputadohenriquefontana,HenriqueFontana,PT,RS
Hercílio Coelho Diniz,herciliocoelhodinizoficial,herciliodiniz,MDB,MG
Herculano Passos,HerculanoPassos,herculanopassos,REPUBLICANOS,SP
Hermes Frangão Parcianello,frangaofederal,,MDB,PR
Hildo Rocha,deputadohildorocha,RochaHildorocha,MDB,MA
Hugo Leal,hugolealdeputadofederal,depHugoLeal,PSD,RJ
Hugo Motta,hugomottapb,HugoMottaPB,REPUBLICANOS,PB
Idilvan,idilvanoficial,IdilvanAlencar,PDT,CE
Igor Timo,oficialigortimo,oficialigortimo,PODEMOS,MG
Iracema Portella,iracemaportella,iracemaportela,PP,PI
Ivan Valente,IvanValentePSOL,IvanValente,PSOL,SP
Jandira Feghali,JandiraFeghaliOficial,jandira_feghali,PCdoB,RJ
Jaqueline Cassol,jaquelinecassoloficial,jqcassol,PP,RO
Jean Wyllys,jean.wyllys,,PSOL,BA
Jéssica Sales,dep.jessicasales,,MDB,AC
JHC,jhc,jhcdopovo,PSB,AL
Jhonatan de Jesus,DepJhonatanJesus,jhonatan_djesus,REPUBLICANOS,RR
João Campos,joaocampospsb,joaocamposdep,REPUBLICANOS,GO
João Roma,joaoromaneto,joaoromaneto,REPUBLICANOS,BA
Joaquim Passarinho,joaquimpassarinhooficial,depjpassarinho,PL,PS
Joenia Wapichana,Dep.Joeniawapichana,JoeniaWapichana,REDE,RR
Joice Hasselmann,joicehasselmann,joicehasselmann,PSDB,SP
Jorge Braz,jorgebrazoficial,Jorge_Braz,REPUBLICANOS,RJ
Jorge Solla,depjorgesolla,depjorgesolla,PT,BA
José Airton Cirilo,Joseairtoncirilo,JoseAirtonPT,PT,CE
José Guimarães,guimaraes13pt,guimaraes13PT,PT,CE
José Medeiros,josemedeirosMT,JoseMedeirosMT,PL,MT
José Nelto,joseneltooficial,josenelto19,PP,GO
José Nunes,deputadojosenunes,,PSD,BA
José Priante,Priante1555,Priante15,MDB,PA
José Ricardo,ZeRicardoAM,ZeRicardoAM,PT,AM
Josias Gomes,josiasgomespt,josiasgomesba,PT,BA
Juarez Costa,juarezcostamt,juarezcostamt,MDB,MT
Julian Lemos,julianlemospb,JulianLemosopb1,PSL,PB
Julio Cesar Ribeiro,depjuliocesarribeiro,JulioCesarRib,REPUBLICANOS,DF
Juninho Do Pneu,juninhodopneu01,JuninhodoPneu,DEM,RJ
Júnior Bozzella,jrbozzella,jrbozzella,PSL,SP
Júnior Ferrari,juniorferrarideputado,juniorferrari55,PSD,PA
Junior Lourenço,Juniorlourencobonfim,,PL,MA
Junior Mano,juniormanodep,JuniorManoDep,PL,CE
Juscelino Filho,DepJuscelinoFilho,DepJuscelino,DEM,SP
Kim Kataguiri,kimkataguiri,KimKataguiri,DEM,SP
Laércio Oliveira,senadorlaerciooliveira,laerciosergipe,PP,SE
Lafayette Andrada,lafayetteandrada,lafayetteandrad,REPUBLICANOS,MG
Leandre Dal Ponte,LeandreOficial,leandredaideal,PSD,PR
Leda Sadala,dep.ledasadala,,PP,AP
Leo Moraes,LeoMoraes.19,DepLeoMoraes,PODEMOS,RO
Leonardo Monteiro,depleomonteiro,depleomonteiro,PT,MG
Leônidas Cristino,leonidascristinooficial,joseleonidas,PDT,CE
Leur Lomanto Junior,leurlomantojr,LeurLomantoJr,DEM,BA
Lídice da Mata,LidicedaMata,lidicedamata,PSB,BA
Liziane Bayer,LizianeBayer,LizianeBayer,REPUBLICANOS,RS
Loester Trutis,loestertrutisdep,LTrutis,PL,MS
Lourival Gomes,deputadolourivalgomes,LourivalGomesrj,NOVO,RJ
Lucas Gonzalez 3022,lucasvgonzalez,lucasvgonzalez,NOVO,MG
Lucas Redecker,LucasRedecker,LucasRedecker,PSDB,RS
Lucas Vergilio,lucasvergiliogo,LucasVergilioGO,SOLIDARIEDADE,GO
Luciano Bivar,Bivaroficial,,PSL,PE
Lucio Mosquini,deputadoluciomosquini,,MDB,RO
Luis Miranda USA,luismirandausa,LuisMirandaUSA,REPUBLICANOS,DF
Luis Tibé,luistibeoficial,LuisTibeOficial,AVANTE,MG
Luísa Canziani,canzianiluisa,luisa_canziani,PSD,PR
Luiz Antônio Corrêa,depluizantonio,depluizantonio,PP,RJ
Luiz Caetano,luiz.caetanoBA,,PT,BA
Luiz Carlos,Luizcarlosjr45,DepLuizCarlos,PSDB,AP
Luiz Flávio Gomes,institutoluizflaviogomes,,PSB,SP
Luiz Lima,oficialluizlima,Oficialluizlima,PL,RJ
Luiz Nishimori,nishimoriluiz,LuizNishimori,PSD,PR
Luiz Philippe de Orleans e Bragança,lpbragancabr,lpbragancabr,PL,RJ
Luiza Erundina,luizaerundina,luizaerundina,PSOL,SP
Luizão Goulart,luizaogoulartpr,luizaogoulart,SOLIDARIEDADE,PR
Luizianne Lins,luiziannelinsPT,LuizianneLinsPT,PT,CE
Magda Mofatto,MagdaMofatto.Goias,MofattoMagda,PL,GO
Major Fabiana,majorfabiana,majorfabianadep,PL,RJ
Major Vitor Hugo,DeputadoVitorHugo,MajorVitorHugo,PL,GO
Mara Rocha,soumararocha,soumara15,MDB,AC
Marcel van Hattem,marcelvh,marcelvanhattem,NOVO,RS
Marcelo Álvaro Antônio,marceloalvaroantonio,Marceloalvaroan,PL,MG
Marcelo Aro,marceloaro,marceloaro,PP,MG
Marcelo Calero,calero.rio,caleromarcelo,PSD,RJ
Marcelo Freixo,freixo.marcelo,MarceloFreixo,PSB,RJ
Marcelo Ramos,marceloramosam,marceloramosam,PSD,AM
Marcio Alvino,marcioalvino,,PL,SP
Márcio Biolchi,deputadobiolchi,marciobiolchi,MDB,RS
Márcio Jerry,marciojerry,marciojerry,PCdoB,MA
Marco Bertaiolli,marco.bertaiolli,MarcoBertaiolli,PSD,SP
Marco Feliciano,PastorMarcoFeliciano,marcofeliciano,PL,SP
Marcos Aurélio Sampaio,marcosaureliosampaio,MarcosA_Sampaio,PSDB,PI
Marcos Pereira 1010,marcospereira1010,marcospereira04,REPUBLICANOS,SP
Margarete Coelho,margaretecoelho.castro,MargaretCoelho,PP,PI
Margarida Salomão,jfmargarida,JFMargarida,PT,MG
Maria do Rosário,DeputadaMariaDoRosario,mariadorosario,PT,SP
Maria Rosas,mariarosas.oficial,mariarosassp,REPUBLICANOS,SP
Mariana Carvalho,marianacarvalho.ro,DeputadaMariana,REPUBLICANOS,RO
Marília Arraes,arraes,MariliaArraes,SOLIDARIEDADE,PE
