"author","Id","Label","party","PEC135","avg_followers","total_posts","type","PDR_posts"
"deputadofabioramalho4311","author::deputadofabioramalho4311","deputadofabioramalho4311","MDB",-1,51620.273830156,577,"author",0
"deputadofederalabouanni","author::deputadofederalabouanni","deputadofederalabouanni","UNIAO",1,125285.665338645,251,"author",0
"deputadofederalacaciofavacho","author::deputadofederalacaciofavacho","deputadofederalacaciofavacho","MDB",-1,4278.14532019704,434,"author",0
"deputadofederaleduardobarbosa","author::deputadofederaleduardobarbosa","deputadofederaleduardobarbosa","PSDB",0,46836.715261959,878,"author",0
"deputadofederalsergiobrito","author::deputadofederalsergiobrito","deputadofederalsergiobrito","PSD",0,18431.3875739645,338,"author",0
"deputadofederalvicentinho","author::deputadofederalvicentinho","deputadofederalvicentinho","PT",0,194017.487120116,3455,"author",0
"deputadofederalzecadirceu","author::deputadofederalzecadirceu","deputadofederalzecadirceu","PT",0,141067.772093023,6021,"author",0
"deputadofederalzesilva","author::deputadofederalzesilva","deputadofederalzesilva","SOLIDARIEDADE",-1,60925.3369901547,3679,"author",0
"deputadogeneciasnoronha","author::deputadogeneciasnoronha","deputadogeneciasnoronha","PL",0,42598.831884058,345,"author",0
"deputadogiovanicherini","author::deputadogiovanicherini","deputadogiovanicherini","PL",1,88987.0573446328,3540,"author",3
"deputadoguilhermemussi","author::deputadoguilhermemussi","deputadoguilhermemussi","PP",0,154901.922178988,514,"author",0
"deputadohenriquefontana","author::deputadohenriquefontana","deputadohenriquefontana","PT",0,195208.82044331,6271,"author",0
"deputadohildorocha","author::deputadohildorocha","deputadohildorocha","MDB",-1,25854.205338809,974,"author",0
"deputadoigorkannario","author::deputadoigorkannario","deputadoigorkannario","UNIAO",1,23234.2893835616,584,"author",0
"deputadojesussergio12","author::deputadojesussergio12","deputadojesussergio12","PDT",1,7801.31169757489,1402,"author",0
"deputadojoaocampos","author::deputadojoaocampos","deputadojoaocampos","REPUBLICANOS",1,52742.7382735514,2537,"author",18
"deputadojoaodaniel","author::deputadojoaodaniel","deputadojoaodaniel","PT",0,15512.5935222672,4940,"author",0
"deputadojoaomarcelo","author::deputadojoaomarcelo","deputadojoaomarcelo","MDB",-1,12034.2879746835,632,"author",0
"deputadojosenunes","author::deputadojosenunes","deputadojosenunes","PSD",-1,39344.2788571429,875,"author",0
"deputadolincolnportela","author::deputadolincolnportela","deputadolincolnportela","PL",1,117887.244094488,381,"author",4
"deputadolourivalgomes","author::deputadolourivalgomes","deputadolourivalgomes","NOVO",1,43920.9061102832,671,"author",5
"deputadoluciomosquini","author::deputadoluciomosquini","deputadoluciomosquini","MDB",1,22544.9504950495,1717,"author",3
"deputadomarcon","author::deputadomarcon","deputadomarcon","PT",0,79953.2830634892,5498,"author",0
"deputadomarioheringer","author::deputadomarioheringer","deputadomarioheringer","PDT",0,50427.5763888889,1296,"author",0
"deputadomisaelvarella","author::deputadomisaelvarella","deputadomisaelvarella","PSD",0,44134.5274725275,728,"author",0
"deputadonicoletti","author::deputadonicoletti","deputadonicoletti","UNIAO",1,25933.1147786947,2666,"author",0
"deputadonilsonpinto","author::deputadonilsonpinto","deputadonilsonpinto","PSDB",0,24796.7530864198,567,"author",0
"deputadonivaldoalbuquerque","author::deputadonivaldoalbuquerque","deputadonivaldoalbuquerque","REPUBLICANOS",1,8431.07692307692,104,"author",0
"deputadoosmarterra","author::deputadoosmarterra","deputadoosmarterra","MDB",1,93149.4402985075,268,"author",0
"deputadopastoreurico","author::deputadopastoreurico","deputadopastoreurico","PL",1,57120.2568807339,436,"author",1
"deputadopaulofreire","author::deputadopaulofreire","deputadopaulofreire","NotApplicable",-1,120259.452025586,939,"author",0
"deputadopedrolupion","author::deputadopedrolupion","deputadopedrolupion","PP",1,40278.5693348365,2661,"author",0
"deputadopeninha","author::deputadopeninha","deputadopeninha","MDB",1,636625.991311543,2417,"author",2
"deputadoricardoizar","author::deputadoricardoizar","deputadoricardoizar","REPUBLICANOS",1,158720.206114398,1014,"author",0
"deputadoricardoteobaldo","author::deputadoricardoteobaldo","deputadoricardoteobaldo","PODEMOS",1,20104.6692667707,641,"author",0
"deputadorogeriocorreia","author::deputadorogeriocorreia","deputadorogeriocorreia","PT",0,163299.40303474,7513,"author",0
"deputadosanderson","author::deputadosanderson","deputadosanderson","PL",1,39572.9525547445,3014,"author",16
"deputadosergiotoledo","author::deputadosergiotoledo","deputadosergiotoledo","PV",0,13277.95,280,"author",0
"deputadosubtenentegonzaga","author::deputadosubtenentegonzaga","deputadosubtenentegonzaga","PSD",1,47069.0411418976,1191,"author",0
"deputadotadeualencar","author::deputadotadeualencar","deputadotadeualencar","PSB",0,44444.961352657,1035,"author",0
"deputadotoninho","author::deputadotoninho","deputadotoninho","PP",1,42674.7804527488,2783,"author",0
"deputadovander","author::deputadovander","deputadovander","PT",0,21049.3753490227,2507,"author",0
