Source	Target	Type	Weight	similarity_total	weight_base	multimodal_multiplier	weight_multimodal_bonus	similarity_text	similarity_hashtag	similarity_domain	active_text	active_hashtag	active_domain	n_modalities_above_threshold	share_text	share_hashtag	share_domain	max_share	non_domain_similarity
ErikaKokay	fernandapsol	Undirected	1.9046342036197523	0.6348780678732507	0.6348780678732507	3	1.9046342036197523	0.5522878808842722	0.8758217205753646	0.4765246021601152	1	1	1	3	0.2899705779905929	0.4598372322154395	0.2501921897939675	0.4598372322154395	0.7140548007298184
deputadorogeriocorreia	gleisi.hoffmann	Undirected	1.8933545151729405	0.6311181717243135	0.6311181717243135	3	1.8933545151729405	0.7036480096239854	0.5172010030825641	0.6725055024663911	1	1	1	3	0.37164091773891256	0.27316648780660213	0.35519259445448537	0.37164091773891256	0.6104245063532747
deputadorogeriocorreia	guimaraes13pt	Undirected	1.8882560487697937	0.6294186829232645	0.6294186829232645	3	1.8882560487697937	0.5988255615863846	0.5047290227395277	0.7847014644438813	1	1	1	3	0.3171315468453136	0.26729903662607657	0.4155694165286098	0.4155694165286098	0.5517772921629561
DeputadoBetoFaro	guimaraes13pt	Undirected	1.8876426924086003	0.6292142308028668	0.6292142308028668	3	1.8876426924086003	0.7042946084002295	0.542855782271312	0.6404923017370587	1	1	1	3	0.3731080099176828	0.287583971508208	0.33930801857410914	0.3731080099176828	0.6235751953357708
davidmirandario12	deputadaaliceportugal	Undirected	1.8871139386327638	0.6290379795442546	0.6290379795442546	3	1.8871139386327638	0.4487833685286424	0.7902811387717745	0.6480494313323468	1	1	1	3	0.23781466467986095	0.4187776490826741	0.3434076862374649	0.4187776490826741	0.6195322536502085
freixo.marcelo	JandiraFeghaliOficial	Undirected	1.8842142576494778	0.6280714192164926	0.6280714192164926	3	1.8842142576494778	0.6065331730535047	0.5848386719130741	0.6928424126828989	1	1	1	3	0.32190244320205047	0.31038862461567907	0.36770893218227046	0.36770893218227046	0.5956859224832894
PauloTeixeira13	wolneyqueirozpe	Undirected	1.8830712545834936	0.6276904181944979	0.6276904181944979	3	1.8830712545834936	0.4107290902072117	0.6427704946539682	0.8295716697223138	1	1	1	3	0.21811659500800923	0.34134156797807375	0.4405418370139171	0.4405418370139171	0.52674979243059
deputadomarcon	guimaraes13pt	Undirected	1.8824316181079257	0.6274772060359752	0.6274772060359752	3	1.8824316181079257	0.524749018457698	0.7151894575720862	0.6424931420781416	1	1	1	3	0.2787612646376685	0.37992851941731576	0.34131021594501576	0.37992851941731576	0.619969238014892
guimaraes13pt	JandiraFeghaliOficial	Undirected	1.8818438175802004	0.6272812725267335	0.6272812725267335	3	1.8818438175802004	0.584965579329708	0.5238063930799901	0.7730718451705024	1	1	1	3	0.3108470394115361	0.27834743148532654	0.4108055291031375	0.4108055291031375	0.554385986204849
carlosveraspt	DeputadoBetoFaro	Undirected	1.8773305816117727	0.6257768605372576	0.6257768605372576	3	1.8773305816117727	0.6055708679797148	0.6900447067085494	0.5817150069235084	1	1	1	3	0.3225701823169604	0.3675669663443692	0.3098628513386704	0.3675669663443692	0.6478077873441321
DeputadaMariaDoRosario	IvanValentePSOL	Undirected	1.87269729753872	0.6242324325129066	0.6242324325129066	3	1.87269729753872	0.5507898575842306	0.8205241365558917	0.5013833033985973	1	1	1	3	0.29411579666833076	0.43815096953165045	0.26773323380001873	0.43815096953165045	0.6856569970700612
depchinaglia	DeputadaMariaDoRosario	Undirected	1.86942874794883	0.6231429159829434	0.6231429159829434	3	1.86942874794883	0.570435878165991	0.6260784358614322	0.6729144339214068	1	1	1	3	0.305139138783376	0.33490360975157596	0.359957251465048	0.359957251465048	0.5982571570137116
afonsoflorence13	gleisi.hoffmann	Undirected	1.8648196317088201	0.62160654390294	0.62160654390294	3	1.8648196317088201	0.6730696872010801	0.6702514817315793	0.5214984627761607	1	1	1	3	0.36093018099788843	0.3594189327132925	0.27965088628881907	0.36093018099788843	0.6716605844663297
