Id	Label	author	party	state	PEC135	ideology_2021	louvain_community	degree	strength	total_posts	total_engagement	mean_engagement	Q1	Q2	is_wolf
BenesLeocadioRN	Benes Leocádio	BenesLeocadioRN	REPUBLICANOS	RN	1	0.55	3	7	7	17	1838	108.11764705882354	0	0	0
glaustindafokus	Glaustin da Fokus	glaustindafokus	PSC	GO	1	0.596	3	7	7	60	5600	93.33333333333333	14	3	1
leurlomantojr	Leur Lomanto Junior	leurlomantojr	DEM	BA	1	0.431	3	7	7	14	935	66.78571428571429	4	2	0
marianacarvalho.ro	Mariana Carvalho	marianacarvalho.ro	REPUBLICANOS	RO	1	0.55	3	7	7	46	21821	474.3695652173913	8	2	0
ottacinascimento	Ottaci	ottacinascimento	SOLIDARIEDADE	RR	1	0.19	3	7	7	12	4573	381.0833333333333	4	2	0
arthur.oliveiramaia	Arthur Oliveira Maia	arthur.oliveiramaia	DEM	BA	0	0.431	3	6	6	21	1646	78.38095238095238	6	1	0
CacaLeaoOficial	Cacá Leão	CacaLeaoOficial	PP	BA	1	0.51	3	6	6	4	130	32.5	0	0	0
dep.eliborges	Eli Borges	dep.eliborges	PL	TO	1	0.493	3	6	6	8	641	80.125	3	2	0
DepJhonatanJesus	Jhonatan de Jesus	DepJhonatanJesus	REPUBLICANOS	RR	0	0.55	3	6	6	10	433	43.3	3	1	0
deputadoediolopes	Deputado Edio Lopes	deputadoediolopes	PL	RR	0	0.493	3	6	6	3	235	78.33333333333333	0	0	0
DrMauroNazif	Dr Mauro Nazif	DrMauroNazif	PSB	RR	1	-0.427	3	6	6	7	868	124	0	0	0
fernandogiacobo	Fernando Giacobo	fernandogiacobo	PL	PR	0	0.493	3	6	6	19	2670	140.52631578947367	10	2	0
joseharoldocathedral	Zé Haroldo Cathedral	joseharoldocathedral	PSD	RR	1	0.296	3	6	6	10	517	51.7	1	0	0
lucasvergiliogo	Lucas Vergilio	lucasvergiliogo	SOLIDARIEDADE	GO	0	0.19	3	6	6	4	355	88.75	1	0	0
SheridanRR	Shéridan	SheridanRR	PSDB	RR	1	0.157	3	6	6	35	7227	206.4857142857143	12	1	0
WalterAlves1511	Walter Pereira Alves	WalterAlves1511	MDB	RN	0	0.137	3	6	6	37	3872	104.64864864864865	4	0	0
dep.expeditonetto	Expedito Netto	dep.expeditonetto	PSD	RO	1	0.296	3	5	5	12	1078	89.83333333333333	4	0	0
Dep.Joeniawapichana	Joenia Wapichana	Dep.Joeniawapichana	REDE	RR	0	-0.555	3	5	5	183	56722	309.95628415300547	5	1	0
depandreabdon	André Abdon	depandreabdon	PP	AM	0	0.51	3	5	5	7	840	120	2	0	0
drhirangoncalves	Dr. Hiran Gonçalves	drhirangoncalves	PP	RR	0	0.51	3	5	5	25	8260	330.4	5	0	0
dep.ledasadala	Leda Sadala	dep.ledasadala	PP	AP	0	0.51	3	4	4	9	2015	223.88888888888889	1	1	0
drleonardomt	Dr. Leonardo	drleonardomt	REPUBLICANOS	MT	0	0.55	3	4	4	36	4829	134.13888888888889	5	1	0
FelipeCarrerasOficial	Felipe Carreras	FelipeCarrerasOficial	PSB	PE	0	-0.427	3	4	4	19	1240	65.26315789473684	4	1	0
felixjunior1234	Félix Mendonça Júnior	felixjunior1234	PDT	BA	0	-0.356	3	4	4	14	415	29.642857142857142	0	0	0
flaviamorais1212	Flávia Morais	flaviamorais1212	PDT	GO	0	-0.356	3	4	4	23	4366	189.82608695652175	3	0	0
Luizcarlosjr45	Luiz Carlos	Luizcarlosjr45	PSDB	AP	0	0.157	3	4	4	5	646	129.2	0	0	0
marcelonilodep	Deputado Marcelo Nilo	marcelonilodep	REPUBLICANOS	BA	0	0.55	3	4	4	15	737	49.13333333333333	3	0	0
mario.negromontejunior	Mário Negromonte Júnior	mario.negromontejunior	PP	BA	0	0.51	3	4	4	7	164	23.428571428571427	2	0	0
pauloazi	Paulo Azi	pauloazi	DEM	BA	0	0.431	3	4	4	10	722	72.2	0	0	0
RodrigoAgostinhoOficial	Rodrigo Agostinho	RodrigoAgostinhoOficial	PSB	SP	0	-0.427	3	4	4	16	7360	460	2	1	0
